dt,maxco,nx,ncells,nlayers,tsr,cp,cd,yplus_min,yplus_max,yplus_mean,ddt_scheme
0.0035,nan,70,58765,,1.9007244013,0.6304491057,1.38965771,0.1539140551,7.247473256,1.60746562,Euler
0.003,nan,70,58765,,1.900767046,0.5751369064,1.3530235012,0.16268837,7.360686633,1.58227429,Euler
0.0025,nan,70,58765,,1.9007623269,0.529331537,1.3437652659,0.1483468275,7.275162481,1.568856368,Euler
0.002,nan,70,58765,,1.9007468617,0.4957023851,1.3134045448,0.1375683258,6.899190974,1.626297382,Euler
0.0015,nan,70,58765,,1.9007528786,0.4762768555,1.2977868708,0.1411319529,7.127711428,1.582875664,Euler
0.001,nan,70,58765,,1.9007480118,0.4631411576,1.2860029606,0.1410343071,7.083117195,1.610792538,Euler
0.0035,nan,70,63621,,1.9007244013,0.6158977805,1.374741718,0.1563485242,7.161173159,1.629923805,Euler
0.0005,nan,70,58765,,1.9007612946,0.4962696702,1.3198022769,0.2054044336,6.646809956,1.83365323,Euler
0.0005,nan,54,34233,,1.9007612946,0.6347849972,1.3441026273,0.1007983195,4.676653505,1.255703227,Euler
0.002,nan,54,34233,,1.9007468617,0.4477655073,1.2777115669,0.0943361595,4.671856913,1.152714866,Euler
0.004,nan,54,34233,,1.9007825977,0.5471266165,1.3134342886,0.1237854315,4.952934838,1.143991753,Euler
0.0035,nan,54,34233,,1.9007244013,0.5133413617,1.307103099,0.1288427393,4.888100534,1.139472963,Euler
0.003,nan,54,34233,,1.900767046,0.4838334782,1.2974638596,0.1135984638,5.072616841,1.096927918,Euler
0.0025,nan,54,34233,,1.9007623269,0.4622085858,1.289291428,0.1089605256,5.02033862,1.095240241,Euler
0.002,nan,54,34233,,1.9007468617,0.4477655073,1.2777115669,0.0943361595,4.671856913,1.152714866,Euler
0.002,nan,54,34233,,1.9007468617,0.4477655073,1.2777115669,0.0943361595,4.671856913,1.152714866,Euler
0.0015,nan,54,34233,,1.9007528786,0.4444712495,1.2693612591,0.1063956427,4.916805534,1.126955067,Euler
0.00125,nan,54,34233,,1.900760891,0.4520272362,1.2696192104,0.0982570782,4.559279132,1.19100133,Euler
0.001,nan,54,34233,,1.9007480118,0.480896313,1.2883781553,0.1100203593,4.865417079,1.190948725,Euler
0.00075,nan,54,34233,,1.9007457187,0.5115144042,1.3195420546,0.1178158967,4.834704185,1.252625798,Euler
0.002,nan,25,11698,,1.9007468617,0.2979839163,1.2449119141,0.2776925221,42.73069016,4.115002882,Euler
0.002,nan,35,18143,,1.9007468617,0.3620532923,1.2569923936,0.1766882696,30.39289199,2.303792683,Euler
0.002,nan,45,26181,,1.9007468617,0.4183133386,1.2770354621,0.140990048,5.599987098,1.393537904,Euler
